time_id,date,day,month,year
1,2023-01-01,1,1,2023
2,2023-01-02,2,1,2023
3,2023-01-03,3,1,2023
4,2023-01-04,4,1,2023
5,2023-01-05,5,1,2023
6,2023-01-06,6,1,2023
7,2023-01-07,7,1,2023
8,2023-01-08,8,1,2023
9,2023-01-09,9,1,2023
10,2023-01-10,10,1,2023
11,2023-01-11,11,1,2023
12,2023-01-12,12,1,2023
13,2023-01-13,13,1,2023
14,2023-01-14,14,1,2023
15,2023-01-15,15,1,2023
16,2023-01-16,16,1,2023
17,2023-01-17,17,1,2023
18,2023-01-18,18,1,2023
19,2023-01-19,19,1,2023
20,2023-01-20,20,1,2023
21,2023-01-21,21,1,2023
22,2023-01-22,22,1,2023
23,2023-01-23,23,1,2023
24,2023-01-24,24,1,2023
25,2023-01-25,25,1,2023
26,2023-01-26,26,1,2023
27,2023-01-27,27,1,2023
28,2023-01-28,28,1,2023
29,2023-01-29,29,1,2023
30,2023-01-30,30,1,2023
31,2023-01-31,31,1,2023
32,2023-02-01,1,2,2023
33,2023-02-02,2,2,2023
34,2023-02-03,3,2,2023
35,2023-02-04,4,2,2023
36,2023-02-05,5,2,2023
37,2023-02-06,6,2,2023
38,2023-02-07,7,2,2023
39,2023-02-08,8,2,2023
40,2023-02-09,9,2,2023
41,2023-02-10,10,2,2023
42,2023-02-11,11,2,2023
43,2023-02-12,12,2,2023
44,2023-02-13,13,2,2023
45,2023-02-14,14,2,2023
46,2023-02-15,15,2,2023
47,2023-02-16,16,2,2023
48,2023-02-17,17,2,2023
49,2023-02-18,18,2,2023
50,2023-02-19,19,2,2023
51,2023-02-20,20,2,2023
52,2023-02-21,21,2,2023
53,2023-02-22,22,2,2023
54,2023-02-23,23,2,2023
55,2023-02-24,24,2,2023
56,2023-02-25,25,2,2023
57,2023-02-26,26,2,2023
58,2023-02-27,27,2,2023
59,2023-02-28,28,2,2023
60,2023-03-01,1,3,2023
61,2023-03-02,2,3,2023
62,2023-03-03,3,3,2023
63,2023-03-04,4,3,2023
64,2023-03-05,5,3,2023
65,2023-03-06,6,3,2023
66,2023-03-07,7,3,2023
67,2023-03-08,8,3,2023
68,2023-03-09,9,3,2023
69,2023-03-10,10,3,2023
70,2023-03-11,11,3,2023
71,2023-03-12,12,3,2023
72,2023-03-13,13,3,2023
73,2023-03-14,14,3,2023
74,2023-03-15,15,3,2023
75,2023-03-16,16,3,2023
76,2023-03-17,17,3,2023
77,2023-03-18,18,3,2023
78,2023-03-19,19,3,2023
79,2023-03-20,20,3,2023
80,2023-03-21,21,3,2023
81,2023-03-22,22,3,2023
82,2023-03-23,23,3,2023
83,2023-03-24,24,3,2023
84,2023-03-25,25,3,2023
85,2023-03-26,26,3,2023
86,2023-03-27,27,3,2023
87,2023-03-28,28,3,2023
88,2023-03-29,29,3,2023
89,2023-03-30,30,3,2023
90,2023-03-31,31,3,2023
91,2023-04-01,1,4,2023
92,2023-04-02,2,4,2023
93,2023-04-03,3,4,2023
94,2023-04-04,4,4,2023
95,2023-04-05,5,4,2023
96,2023-04-06,6,4,2023
97,2023-04-07,7,4,2023
98,2023-04-08,8,4,2023
99,2023-04-09,9,4,2023
100,2023-04-10,10,4,2023
101,2023-04-11,11,4,2023
102,2023-04-12,12,4,2023
103,2023-04-13,13,4,2023
104,2023-04-14,14,4,2023
105,2023-04-15,15,4,2023
106,2023-04-16,16,4,2023
107,2023-04-17,17,4,2023
108,2023-04-18,18,4,2023
109,2023-04-19,19,4,2023
110,2023-04-20,20,4,2023
111,2023-04-21,21,4,2023
112,2023-04-22,22,4,2023
113,2023-04-23,23,4,2023
114,2023-04-24,24,4,2023
115,2023-04-25,25,4,2023
116,2023-04-26,26,4,2023
117,2023-04-27,27,4,2023
118,2023-04-28,28,4,2023
119,2023-04-29,29,4,2023
120,2023-04-30,30,4,2023
121,2023-05-01,1,5,2023
122,2023-05-02,2,5,2023
123,2023-05-03,3,5,2023
124,2023-05-04,4,5,2023
125,2023-05-05,5,5,2023
126,2023-05-06,6,5,2023
127,2023-05-07,7,5,2023
128,2023-05-08,8,5,2023
129,2023-05-09,9,5,2023
130,2023-05-10,10,5,2023
131,2023-05-11,11,5,2023
132,2023-05-12,12,5,2023
133,2023-05-13,13,5,2023
134,2023-05-14,14,5,2023
135,2023-05-15,15,5,2023
136,2023-05-16,16,5,2023
137,2023-05-17,17,5,2023
138,2023-05-18,18,5,2023
139,2023-05-19,19,5,2023
140,2023-05-20,20,5,2023
141,2023-05-21,21,5,2023
142,2023-05-22,22,5,2023
143,2023-05-23,23,5,2023
144,2023-05-24,24,5,2023
145,2023-05-25,25,5,2023
146,2023-05-26,26,5,2023
147,2023-05-27,27,5,2023
148,2023-05-28,28,5,2023
149,2023-05-29,29,5,2023
150,2023-05-30,30,5,2023
151,2023-05-31,31,5,2023
152,2023-06-01,1,6,2023
153,2023-06-02,2,6,2023
154,2023-06-03,3,6,2023
155,2023-06-04,4,6,2023
156,2023-06-05,5,6,2023
157,2023-06-06,6,6,2023
158,2023-06-07,7,6,2023
159,2023-06-08,8,6,2023
160,2023-06-09,9,6,2023
161,2023-06-10,10,6,2023
162,2023-06-11,11,6,2023
163,2023-06-12,12,6,2023
164,2023-06-13,13,6,2023
165,2023-06-14,14,6,2023
166,2023-06-15,15,6,2023
167,2023-06-16,16,6,2023
168,2023-06-17,17,6,2023
169,2023-06-18,18,6,2023
170,2023-06-19,19,6,2023
171,2023-06-20,20,6,2023
172,2023-06-21,21,6,2023
173,2023-06-22,22,6,2023
174,2023-06-23,23,6,2023
175,2023-06-24,24,6,2023
176,2023-06-25,25,6,2023
177,2023-06-26,26,6,2023
178,2023-06-27,27,6,2023
179,2023-06-28,28,6,2023
180,2023-06-29,29,6,2023
